Age,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Sleep Hours,Daily Calories Intake,Resting Heart Rate (bpm),BMI,Calories Burned per Minute,Steps per Minute,Steps per Km,Workout Type_Cardio,Workout Type_Cycling,Workout Type_HIIT,Workout Type_Running,Workout Type_Strength,Workout Type_Yoga,Workout Intensity_High,Workout Intensity_Low,Workout Intensity_Medium,Mood Before Workout_Happy,Mood Before Workout_Neutral,Mood Before Workout_Stressed,Mood Before Workout_Tired,Mood After Workout_Energized,Mood After Workout_Fatigued,Mood After Workout_Neutral,Cluster
38.0,64.19133840018034,551.4488914086908,129.0,10258.273060042042,7.961198168452133,6.999999999999999,2745.096438234553,70.0,27.847974213283738,8.645825349525367,160.09017168834657,1316.4749912305422,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4
38.0,65.0,549.3110786325376,129.0,10306.467547656264,7.86523004324671,6.999999999999999,2749.6670178955155,70.0,27.774015650239612,8.591704927270857,160.39131076722776,1331.6640953763492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38.0,64.01771709911038,551.5075345165216,129.0,10250.181755213789,7.968540003073763,7.066211057136706,2744.4305253698003,70.0,27.858601507485886,8.648365856407974,160.01380376074607,1314.2757557190375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4
39.0,65.0,555.0,130.0,10529.182875907909,7.775494534550943,6.8999999999999995,2755.903511876369,69.0,27.704780238756967,8.642440881556,163.33025073323785,1361.4568203642746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
39.0,66.0,544.0,130.0,10297.225771134805,7.746646781315644,6.986215076347417,2752.2308114419625,70.0,27.7345989846326,8.499507372292445,159.9708110397682,1343.3813369685897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
38.0,64.0,563.190726838002,129.0,10760.232968629534,7.8184689371238765,6.8999999999999995,2761.294391492388,69.0,27.688370081397057,8.774173112269299,166.9867850929435,1376.2438031116935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
38.0,64.0,563.604144412049,129.0,10773.68293803989,7.819480868331197,6.8999999999999995,2761.4227955722886,69.0,27.68780462568715,8.779977799928197,167.09365984616943,1376.7536857312095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
39.0,65.0,555.0,130.0,10531.592111214837,7.778477050586717,6.8999999999999995,2755.910736741055,69.0,27.706608577442843,8.64540778180208,163.38020833346326,1361.4267593798156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
38.0,64.0,563.4277641265998,129.0,10782.583007303267,7.811372587293667,6.8999999999999995,2761.799342772464,69.0,27.677424773964866,8.774543684566092,167.1440691413338,1378.5273950944256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
38.0,65.0,549.0731096989792,129.1379651981929,10311.339348818046,7.854782040346869,6.999999999999999,2750.1474788877094,70.0,27.770201701269844,8.585161894912641,160.45641497788745,1333.1582786315566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
